# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:a                      3:proper time [Gyr]      4:conf. time [Mpc]       5:H [1/Mpc]              6:comov. dist.           7:ang.diam.dist.         8:lum. dist.             9:comov.snd.hrz.        10:(.)rho_g              11:(.)rho_b              12:(.)rho_cdm            13:(.)number_ncdm[0]     14:(.)rho_ncdm[0]        15:(.)p_ncdm[0]          16:(.)number_ncdm[1]     17:(.)rho_ncdm[1]        18:(.)p_ncdm[1]          19:(.)rho_lambda         20:(.)rho_ur             21:(.)rho_crit           22:(.)rho_tot            23:(.)p_tot              24:(.)p_tot_prime        25:gr.fac. D             26:gr.fac. f          
       1.000000000000e+14       1.000000000000e-14       7.557728237179e-26       4.634785000235e-09       2.157767302906e+22       1.414354537809e+04       1.414354537809e-10       1.414354537809e+18       2.675683649540e-09       2.751560535470e+44       2.484547575168e+33       1.332954767152e+34       2.006601984550e+29       6.334645306189e-13       2.111548435396e+43       4.013203969100e+29       1.266929061238e-12       4.223096870792e+43       3.454201677129e-08       4.005606003904e+41       4.655959733488e+44       4.655959733488e+44       1.551986577777e+44      -1.339530356830e+53       5.646694101529e-20       2.000000000000e+14 
       9.930486593843e+13       1.007000000000e-14       7.663906761183e-26       4.667526809499e-09       2.127872817690e+22       1.414354537809e+04       1.424255019573e-10       1.404522877665e+18       2.694413435087e-09       2.675846458098e+44       2.433094099690e+33       1.305350081249e+34       1.965046472779e+29       6.334645306189e-13       2.053445428193e+43       3.930092945558e+29       1.266929061238e-12       4.106890856387e+43       3.454201677129e-08       3.895384637160e+41       4.527842728264e+44       4.527842728264e+44       1.509280909370e+44      -1.293615490422e+53       7.877831388009e-08       1.433565615564e+02 
       9.861456399050e+13       1.014049000000e-14       7.771576987271e-26       4.700268618762e-09       2.098392501438e+22       1.414354537809e+04       1.434224804710e-10       1.394759560740e+18       2.713274329132e-09       2.602215788102e+44       2.382706194526e+33       1.278317071672e+34       1.924351550488e+29       6.334645306189e-13       1.996941228477e+43       3.848703100977e+29       1.266929061238e-12       3.993882456954e+43       3.454201677129e-08       3.788196207173e+41       4.403251090090e+44       4.403251090090e+44       1.467750363313e+44      -1.249274440499e+53       1.575566277601e-07       7.167828077820e+01 
       9.792906056653e+13       1.021147343000e-14       7.880759872365e-26       4.733010428026e-09       2.069320616102e+22       1.414354537809e+04       1.444264378343e-10       1.385064111956e+18       2.732267249436e-09       2.530611196824e+44       2.333361792360e+33       1.251843899350e+34       1.884499395391e+29       6.334645306189e-13       1.941991842218e+43       3.768998790781e+29       1.266929061238e-12       3.883983684435e+43       3.454201677129e-08       3.683957257301e+41       4.282087812226e+44       4.282087812226e+44       1.427362604026e+44      -1.206453261607e+53       2.363349416401e-07       4.778552051880e+01 
       9.724832231036e+13       1.028295374401e-14       7.991476667812e-26       4.765752237290e-09       2.040651503135e+22       1.414354537809e+04       1.454374228992e-10       1.375436059539e+18       2.751393120182e-09       2.460976933110e+44       2.285039282877e+33       1.225918970392e+34       1.845472554288e+29       6.334645306189e-13       1.888554485961e+43       3.690945108576e+29       1.266929061238e-12       3.777108971921e+43       3.454201677129e-08       3.582586627356e+41       4.164258557247e+44       4.164258557247e+44       1.388086185701e+44      -1.165099857370e+53       3.151132555201e-07       3.583914038910e+01 
       9.657231609767e+13       1.035493442022e-14       8.103748923518e-26       4.798494046554e-09       2.012379582382e+22       1.414354537809e+04       1.464554848595e-10       1.365874934994e+18       2.770652872023e-09       2.393258779894e+44       2.237717503297e+33       1.200530931012e+34       1.807253935427e+29       6.334645306189e-13       1.836587553514e+43       3.614507870855e+29       1.266929061238e-12       3.673175107028e+43       3.454201677129e-08       3.484005390419e+41       4.049671583589e+44       4.049671583589e+44       1.349890527816e+44      -1.125163917113e+53       3.938915694001e-07       2.867131231128e+01 
       9.590100903443e+13       1.042741896116e-14       8.217598492144e-26       4.833054845221e-09       1.984499351000e+22       1.414354537809e+04       1.474806732535e-10       1.356380273083e+18       2.790047442127e-09       2.327404011992e+44       2.191375729112e+33       1.175668662551e+34       1.769826801016e+29       6.334645306189e-13       1.786050583553e+43       3.539653602032e+29       1.266929061238e-12       3.572101167106e+43       3.454201677129e-08       3.388136791385e+41       3.938237674121e+44       3.938237674121e+44       1.312745891327e+44      -1.086596854651e+53       4.726698832801e-07       2.389276025940e+01 
       9.523436845525e+13       1.050041089389e-14       8.333047533360e-26       4.865796654485e-09       1.957005382384e+22       1.414354537809e+04       1.485130379662e-10       1.346951611800e+18       2.809577774222e-09       2.263361355047e+44       2.145993665002e+33       1.151321276611e+34       1.733174759889e+29       6.334645306189e-13       1.736904228120e+43       3.466349519779e+29       1.266929061238e-12       3.473808456239e+43       3.454201677129e-08       3.294906187201e+41       3.829870066678e+44       3.829870066678e+44       1.276623355514e+44      -1.049351749181e+53       5.514481971601e-07       2.047950879377e+01 
       9.457236192179e+13       1.057391377014e-14       8.450118518156e-26       4.900357453153e-09       1.929892325108e+22       1.414354537809e+04       1.495526292320e-10       1.337588492354e+18       2.829244818642e-09       2.201080945604e+44       2.101551435954e+33       1.127478110288e+34       1.697281760336e+29       6.334645306189e-13       1.689110221984e+43       3.394563520672e+29       1.266929061238e-12       3.378220443968e+43       3.454201677129e-08       3.204240988754e+41       3.724484386512e+44       3.724484386512e+44       1.241494795459e+44      -1.013383288196e+53       6.302265110401e-07       1.791957019455e+01 
       9.391495722125e+13       1.064793116654e-14       8.568834233218e-26       4.934918251820e-09       1.903154901892e+22       1.414354537809e+04       1.505994976366e-10       1.328290459140e+18       2.849049532372e-09       2.140514292293e+44       2.058029578552e+33       1.104128721498e+34       1.662132083064e+29       6.334645306189e-13       1.642631352852e+43       3.324264166128e+29       1.266929061238e-12       3.285262705705e+43       3.454201677129e-08       3.116070604344e+41       3.621998580595e+44       3.621998580595e+44       1.207332860155e+44      -9.786477123577e+52       7.090048249200e-07       1.592850683960e+01 
